Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
65,tt0131179,2021-12-15,2021-12-15,,"Детектив Конан","Meitantei Conan",https://www.imdb.com/title/tt0131179/,TV Series,8.5,25,1996,"Animation, Action, Comedy, Crime, Drama, Mystery, Romance, Sci-Fi, Thriller",17443,1996-01-08,
66,tt1913273,2021-12-15,2021-12-15,,"Невиданный цветок","Ano hi mita hana no namae o bokutachi wa mada shiranai.",https://www.imdb.com/title/tt1913273/,TV Mini Series,8.1,23,2011,"Animation, Adventure, Drama, Fantasy, Mystery, Romance",17803,2011-04-14,
67,tt2051178,2021-12-15,2021-12-15,,"Судьба: Начало","Fate/Zero",https://www.imdb.com/title/tt2051178/,TV Series,8.2,24,2011,"Animation, Action, Adventure, Drama, Fantasy, Thriller",16590,2011-10-01,
68,tt0995941,2021-12-15,2021-12-15,,"Темнее чёрного","Darker Than Black: Kuro no keiyakusha",https://www.imdb.com/title/tt0995941/,TV Series,7.7,24,2007,"Animation, Action, Crime, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",13193,2007-04-05,
69,tt1334722,2021-12-15,2021-12-15,,"Шумиха","Baccano!",https://www.imdb.com/title/tt1334722/,TV Series,8.2,24,2007,"Animation, Action, Adventure, Comedy, Crime, Fantasy, History, Mystery, Thriller",13435,2007-07-26,
70,tt9458304,2021-12-15,2021-12-15,,"Дороро","Dororo",https://www.imdb.com/title/tt9458304/,TV Series,8.2,30,2019,"Animation, Action, Adventure, Fantasy, Horror",26934,2019-01-07,
71,tt0161952,2021-12-15,2021-12-15,,"Рыцари Зодиака","Saint Seiya",https://www.imdb.com/title/tt0161952/,TV Series,8.4,24,1986,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",12157,1986-10-11,
72,tt9529546,2021-12-15,2021-12-15,,"Восхождение героя щита","Tate no Yuusha no Nariagari",https://www.imdb.com/title/tt9529546/,TV Series,7.7,24,2019,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",21997,2019-01-09,
73,tt0816397,2021-12-15,2021-12-15,,"Хост-клуб Оранской школы","Ôran kôkô hosutobu",https://www.imdb.com/title/tt0816397/,TV Series,8.1,24,2006,"Animation, Comedy, Romance",13249,2006-04-04,
74,tt0988818,2021-12-15,2021-12-15,,"Гинтама","Gintama",https://www.imdb.com/title/tt0988818/,TV Series,8.7,25,2005,"Animation, Action, Comedy, Sci-Fi",19682,2006-04-04,
